UF;Idade;Sexo;Cor;EstadoCivil;NotaCN;NotaCH;NotaLC;NotaMT;NotaRED;InstrPai;InstrMae;NPessoas;Renda;EscolaEM;TurnoEM
MA;18;M;PPI;Solteiro;448;415.5;508.7;377;360;Medio;E;5;2. 1 a 3 SM;Somente Publica;C
MA;22;M;Não PPI;Solteiro;570.2;594.8;560.8;417.4;540;Não Informado;H;7;2. 1 a 3 SM;Somente Publica;A
MA;18;M;PPI;Solteiro;386.3;458.6;398.2;502.9;460;Fundamental;C;6;2. 1 a 3 SM;Somente Publica;A
MA;20;F;PPI;Solteiro;448.6;541.2;473.7;378.8;480;Fundamental;D;2;2. 1 a 3 SM;Somente Publica;A
MA;19;F;PPI;Solteiro;492;516.1;424.4;437.8;380;Fundamental;G;3;2. 1 a 3 SM;Somente Publica;A
MA;18;F;PPI;Solteiro;449.5;570.4;530.6;566.6;520;Fundamental;B;3;2. 1 a 3 SM;Somente Publica;A
MA;21;F;Não PPI;Solteiro;550.3;548.1;444.7;389.4;480;Fundamental;C;5;1. Ate 1 SM;Somente Publica;A
MA;21;M;Não PPI;Solteiro;574.5;553.8;530.2;436.3;520;Fundamental;D;5;2. 1 a 3 SM;Somente Privada;A
MA;22;M;PPI;Solteiro;423.6;409.3;464.6;390.7;440;Fundamental;E;3;2. 1 a 3 SM;Somente Publica;A
MA;19;M;PPI;Solteiro;571.1;618.2;562.7;649.2;680;Fundamental;D;4;2. 1 a 3 SM;Somente Publica;A
MA;17;F;PPI;Solteiro;388.9;629.8;524.8;446;460;Não Informado;E;3;2. 1 a 3 SM;Somente Publica;A
MA;20;M;PPI;Solteiro;399.7;580.7;547.9;500.8;380;Fundamental;F;2;2. 1 a 3 SM;Somente Publica;A
MA;19;F;PPI;Solteiro;477.4;649;550.3;468.6;400;Fundamental;C;5;2. 1 a 3 SM;Somente Publica;A
MA;23;F;PPI;Solteiro;360;397.2;342.5;434.9;440;Fundamental;B;7;1. Ate 1 SM;Somente Publica;B
MA;32;F;PPI;Solteiro;487.9;554.3;449.7;386;480;Medio;E;5;1. Ate 1 SM;Somente Publica;A
MA;33;M;Não PPI;Outro;481.6;686.9;557.5;769.7;640;Fundamental;D;6;1. Ate 1 SM;Somente Publica;C
MA;18;M;PPI;Solteiro;648.3;659.6;628.7;613.4;600;Fundamental;G;3;2. 1 a 3 SM;Publica/Privada;A
MA;26;F;PPI;Solteiro;478.3;548.2;453.6;383.9;540;Medio;F;4;1. Ate 1 SM;Somente Publica;C
MA;20;M;PPI;Solteiro;585.8;602.6;553.2;439.6;560;Medio;E;1;1. Ate 1 SM;Somente Publica;A
MA;18;F;PPI;Solteiro;484.5;591.2;433.9;319.1;640;Fundamental;A;4;1. Ate 1 SM;Somente Publica;A
MA;36;F;Não PPI;Solteiro;451.4;596.1;510;380.5;460;Não Informado;D;4;2. 1 a 3 SM;Publica/Privada;A
MA;28;F;PPI;Outro;403.6;571;413.1;364.4;540;Fundamental;B;5;2. 1 a 3 SM;Somente Publica;C
MA;17;F;PPI;Solteiro;394.8;508.2;423.4;410;400;Fundamental;C;5;2. 1 a 3 SM;Somente Publica;A
MA;36;M;PPI;Outro;473.4;595.8;519.1;445.1;560;Fundamental;E;4;2. 1 a 3 SM;Somente Publica;A
MA;19;M;PPI;Solteiro;390.6;424;430.1;336.3;540;Não Informado;E;5;1. Ate 1 SM;Somente Publica;A
MA;23;F;Não PPI;Solteiro;616.7;685;593.8;511;780;Medio;E;4;4. 5 a 10 SM;Somente Privada;A
MA;18;F;PPI;Solteiro;377;561;521.1;356.4;520;Fundamental;D;5;1. Ate 1 SM;Somente Publica;A
MA;17;F;PPI;Solteiro;437.4;474.5;426.7;410.7;560;Não Informado;H;3;1. Ate 1 SM;Somente Publica;A
MA;25;M;PPI;Solteiro;369;447.6;361.7;327;340;Fundamental;A;6;2. 1 a 3 SM;Somente Publica;C
MA;37;F;PPI;Solteiro;394.1;546.9;469;381.2;640;Fundamental;B;4;2. 1 a 3 SM;Somente Publica;B
MA;41;M;PPI;Outro;429.5;503.4;501.1;456.2;480;Medio;E;6;1. Ate 1 SM;Somente Publica;A
MA;20;F;PPI;Solteiro;503;496.5;453.1;451.1;580;Fundamental;D;7;2. 1 a 3 SM;Somente Publica;B
MA;38;M;PPI;Solteiro;580.2;652;607.9;737.8;640;Fundamental;F;3;5. 10 ou mais;Somente Publica;A
MA;27;F;PPI;Solteiro;505.5;537.6;563;501.2;520;Fundamental;E;4;2. 1 a 3 SM;Somente Publica;B
MA;27;F;Não PPI;Solteiro;366.2;457.8;427.9;319.1;500;Medio;E;4;2. 1 a 3 SM;Somente Publica;A
MA;20;F;PPI;Solteiro;423.8;540.2;489.9;411.7;380;Medio;B;2;2. 1 a 3 SM;Somente Publica;A
MA;26;M;PPI;Solteiro;371.3;529.6;423.2;406.7;240;Fundamental;D;4;1. Ate 1 SM;Somente Publica;A
MA;17;F;Não Informado;Solteiro;482.9;590.6;533;521.1;560;Fundamental;E;6;2. 1 a 3 SM;Publica/Privada;A
MA;20;M;PPI;Solteiro;451;543.8;447.9;596.8;440;Não Informado;H;3;2. 1 a 3 SM;Somente Publica;A
MA;17;M;Não PPI;Solteiro;648.7;683.3;570.6;687.1;820;Medio;E;2;2. 1 a 3 SM;Somente Privada;A
MA;20;M;PPI;Solteiro;409.2;458.8;411.9;395;380;Fundamental;D;6;2. 1 a 3 SM;Somente Publica;B
MA;23;F;PPI;Outro;407;560.3;473.1;443.3;300;Medio;E;3;2. 1 a 3 SM;Somente Publica;B
